medicine_name,website,price,availability,product_title,timestamp
Paracip 500mg,Netmeds,₹0 - ₹803,In Stock,Product,2025-11-20 11:04:11
Paracip 500mg,Netmeds,₹9.98,In Stock,Product,2025-11-20 11:04:11
Paracip 500mg,Netmeds,₹11.09,In Stock,Product,2025-11-20 11:04:11
Crocin Advance,Netmeds,₹0 - ₹68,In Stock,Product,2025-11-20 11:04:27
Crocin Advance,Netmeds,₹27.18,In Stock,Product,2025-11-20 11:04:27
Crocin Advance,Netmeds,₹30.20,In Stock,Product,2025-11-20 11:04:27
Dolo 650mg,Netmeds,₹0 - ₹123,In Stock,Product,2025-11-20 11:04:43
Dolo 650mg,Netmeds,₹25.43,In Stock,Product,2025-11-20 11:04:43
Dolo 650mg,Netmeds,₹28.25,In Stock,Product,2025-11-20 11:04:43
Azithral 500,Netmeds,₹0 - ₹215,In Stock,Product,2025-11-20 11:04:58
Azithral 500,Netmeds,₹99.70,In Stock,Product,2025-11-20 11:04:58
Azithral 500,Netmeds,₹110.78,In Stock,Product,2025-11-20 11:04:58
Pan 40,Netmeds,₹0 - ₹420,In Stock,Product,2025-11-20 11:05:15
Pan 40,Netmeds,₹138.83,In Stock,Product,2025-11-20 11:05:15
Pan 40,Netmeds,₹154.26,In Stock,Product,2025-11-20 11:05:15
Calpol 650mg,Netmeds,₹0 - ₹351,In Stock,Product,2025-11-20 11:05:31
Calpol 650mg,Netmeds,₹25.07,In Stock,Product,2025-11-20 11:05:31
Calpol 650mg,Netmeds,₹27.86,In Stock,Product,2025-11-20 11:05:31
Augmentin 625,Netmeds,₹0 - ₹611,In Stock,Product,2025-11-20 11:05:47
Augmentin 625,Netmeds,₹154.75,In Stock,Product,2025-11-20 11:05:47
Augmentin 625,Netmeds,₹171.94,In Stock,Product,2025-11-20 11:05:47
Betadine Gargle,Netmeds,₹0 - ₹275,In Stock,Product,2025-11-20 11:06:03
Betadine Gargle,Netmeds,₹150.72,In Stock,Product,2025-11-20 11:06:03
Betadine Gargle,Netmeds,₹167.47,In Stock,Product,2025-11-20 11:06:03
Combiflam,Netmeds,₹0 - ₹328,In Stock,Product,2025-11-20 11:06:19
Combiflam,Netmeds,₹41.36,In Stock,Product,2025-11-20 11:06:19
Combiflam,Netmeds,₹45.96,In Stock,Product,2025-11-20 11:06:19
Sinarest,Netmeds,₹0 - ₹129,In Stock,Product,2025-11-20 11:06:36
Sinarest,Netmeds,₹84.76,In Stock,Product,2025-11-20 11:06:36
Sinarest,Netmeds,₹94.18,In Stock,Product,2025-11-20 11:06:36
